OBJECTID,Facility Type,Facility Name,Park Name,Park Region,DATA SOURCE,CREATE_DATE,DATA CREATOR EDITOR,SITEID,COMMENTS,GlobalID,x,y
1,Boat Ramp,Campground West Side Area,Ackley Lake,4,point_features_kiosks2006 layer,4/8/2016 12:00:00 AM,HANSEN,282450,Aligned with NAIP imagery and Park Manager notes,43f012d4-d18c-4f34-aebd-29de947ea33c,-12238726.5216527,5934984.55435055
2,Picnic Shelter,Campground East Side Area,Ackley Lake,4,point_features_kiosks2006 layer,4/8/2016 12:00:00 AM,HANSEN,282450,Aligned with NAIP imagery and Park Manager notes,560b7c89-cee4-44d6-8954-ffd838bdecd9,-12238046.1524752,5935419.9919286
3,Boat Ramp,Campground East Side Area,Ackley Lake,4,point_features_kiosks2006 layer,4/8/2016 12:00:00 AM,HANSEN,282450,Aligned with NAIP imagery and Park Manager notes,4e555315-1855-4575-8397-ad5e5d3b956a,-12237557.6243459,5934628.83630525
4,Visitor Information Kiosk,,Anaconda Smoke Stack,3,point_features_kiosks2006 layer,1/18/2007 12:00:00 AM,2006 KIOSK CONSULTANT,280918,,7f26ca71-ed41-4c65-a004-df405136245c,-12571467.2608231,5800106.40798537
5,Interpretive Exhibit,,Anaconda Smoke Stack,3,point_features_kiosks2006 layer,1/18/2007 12:00:00 AM,2006 KIOSK CONSULTANT,280918,,3cf8a628-f273-4e66-ab56-6e75257d6efc,-12571436.7456712,5800109.24039491
6,Parking,,Anaconda Smoke Stack,3,point_features_kiosks2006 layer,1/18/2007 12:00:00 AM,2006 KIOSK CONSULTANT,280918,,bb3ba622-e543-40a6-b53b-5bd6e1fa231e,-12571483.8432952,5800106.12306238
7,Campground (Utilities Unavailable),Vigilante,Bannack,3,point_features_kiosks2006 layer,4/8/2016 12:00:00 AM,HANSEN,281798,Created for Map Display,5979d73b-6e87-49fa-a720-b4b00e1fc737,-12579597.5009051,5647491.84802304
8,Fee Collection Station,Vigilante Campground Area,Bannack,3,DIGITIZE,4/8/2016 12:00:00 AM,HANSEN,281798,Digitized from NAIP imagery and Park Manager notes,88764165-88d0-473a-aca5-38d7445431b3,-12579558.6702892,5647516.59313241
9,Campground (Utilities Unavailable),Road Agent,Bannack,3,point_features_kiosks2006 layer,4/8/2016 12:00:00 AM,HANSEN,281798,Aligned with NAIP imagery and Park Manager notes,a80f9d7e-87ef-47e1-9603-41e0f35d6634,-12579320.1359037,5647173.06946783
10,Fee Collection Station,Road Agent Area,Bannack,3,DIGITIZE,4/8/2016 12:00:00 AM,HANSEN,281798,Digitized from NAIP imagery and Park Manager notes,a3505d49-d04c-4389-b50e-e30798c47db6,-12579351.5993476,5647143.42030069
