X,Y,objectid,name,description,icon_color,pic_url,thumb_url
-12984031.4581478,6134386.00052359,1,Round Lake State Park,"Round Lake State Park is a beautiful forested park in the northern panhandle of Idaho.  It sits on the edge of a 58-acre lake where flocks of Canada geese pass over towering pine, hemlock and larch trees and osprey plunge for perch. Hikers will discover beaver lodges and may see a glimpse of a resident moose, while fishers listen to a chorus of bullfrogs, ducks and red-winged blackbirds as they cast for rainbow trout or bass.",b,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/1/attachments/59,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/1/attachments/60
-12408551.7019442,5518500.92871398,2,Harriman State Park,"Harriman State Park lies within a 16,000-acre wildlife refuge in the Greater Yellowstone Ecosystem.  Known for its beautiful scenery and wildlife, Harriman State Park offers 22-miles of hiking, mountain biking, and horseback riding trails that slink through meadows, meander along river banks and through lush evergreen forests.  Some of the best fly fishing waters in the nation flow through 8 miles of Harriman State Park, known by anglers all over the world over as “the Ranch.”  Moose, elk and Trumpeter swans, the world’s largest waterfowl species, are a common sight at Harriman. ",b,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/2/attachments/53,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/2/attachments/54
-12373354.9701282,5457900.09755179,3,Ashton-Tetonia Trail,"This 29.6-mile trail runs from Ashton to Tetonia, Idaho, and follows the abandoned railroad grade of the Oregon Short Line Railroad. Today, visitors can enjoy the  scenic farm country of eastern Idaho, three breathtaking bridge crossings, and  unsurpassed views of the Teton mountain range. The historic train trestles at Fall River, Conant Creek and Bitch Creek span up to 600-feet in length and 130-feet in height and are popular landmarks along the trail.",b,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/3/attachments/55,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/3/attachments/56
-12382985.8227232,5166885.36552232,4,Bear Lake State Park,"Bring your boat, your bathing suit, sunscreen, fishing rod and your water toys: Bear Lake is a water lover's paradise.  

At 20 miles long and 8 miles wide, half of Bear Lake resides in Idaho, the other half in Utah. Known for its intense turquoise colored water, the lake is often called the Caribbean of the Rockies. ",b,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/4/attachments/57,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/4/attachments/58
-12878917.5812534,5295021.21346068,5,Bruneau Dunes State Park,"Bruneau Dunes State Park boasts the tallest single-structured sand dune in North America with a peak rising 470 feet above the surrounding desert floor. Explore the dunes in your hiking boots or rent a sand board from the Visitor Center, but off-road vehicles are only permitted  on the main road. You can also fish for bluegill in the lakes at the foot of the dune; unlock the mystery of the desert with a breathtaking hike or horseback ride; plan a group picnic or visit the Bruneau Dunes Observatory and gaze at the night sky through the Observatory's collection of telescopes. ",b,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/5/attachments/9,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/5/attachments/10
-12648039.5861641,5180308.23403473,6,Castle Rocks State Park,"With hundreds of routes to explore, the challenging landscape of Castle Rocks State Park attracts rock climbers from around the world and  provides superb hiking, mountain biking and horseback riding in the midst of a dramatic backdrop that dates back 2.5 million years.    

Remnants of Native American pictographs, the California National Historic Trail and 20th century ranching are visible in the park today.",b,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/6/attachments/11,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/6/attachments/12
-12653351.3717877,5173638.6040288,7,City of Rocks National Reserve,"On his way to California in 1849, emigrant James F. Wilkens described the dramatic geological area he encountered as ""City of Rocks."" The name remains, as well as hundreds of pioneer inscriptions, wagon ruts, and journal accounts, testifying to the nearly quarter-million people who traveled through here between 1843 and 1882.",b,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/7/attachments/61,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/7/attachments/62
-12991023.880466,6045356.70579834,8,Coeur d'Alene Parkway,"Walkers, hikers and cyclists of all ages love Coeur d' Alene Lake Parkway State Park.  Spend the day on foot, on bike wheels or on the half-mile long beach.  The paved parkway lies along the north shore of Lake Coeur d' Alene and has 5.7 miles of non-motorized fun.  The parkway is part of the nationally famous North Idaho Centennial Trail, a multi-use recreational trail system that meanders for 24 miles from the Idaho/Washington state line.  Along the parkway is Higgens Point where there is a boat launch facility and group picnic area overlooking the lake.  

The parkway also includes an exercise course, roadside picnic tables, restroom facilities and benches for those who wish to stop and just enjoy views of the lake and the soaring Veterans Memorial Bridge.  During the winter, spectators watch as Bald Eagle visit the park during the southern migration.
",b,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/8/attachments/15,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/8/attachments/16
-12953111.1296405,6032095.76260978,9,Old Mission State Park,"The Coeur d' Alene's Old Mission State Park spotlights the oldest building in Idaho.  The Mission of the Sacred Heart was constructed between 1850 and 1853 by Catholic missionaries and members of the Coeur d' Alene Tribe.  Listed on the National Register of Historic Places, the Sacred Heart Mission and the Coeur d'Alene's Old Mission State Park provide an educational experience not found anywhere else, giving visitors an opportunity to examine the dynamics and complexities between Jesuit missionaries and the tribal people among whom they settled in a beautiful park setting.  The park features the Sacred Heart Mission church, a restored Parish House and a historic cemetery.",b,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/9/attachments/17,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/9/attachments/18
-12947664.9354148,5865634.41302042,10,Dworshak State Park,"Whether you're coming for the day or spending a week, Dworshak State Park provides a great setting for being with family and friends on the water or on the shore. An abundance of bass and kokanee delight anglers, trails challenge mountain bikers and hikers, and solitude awaits those in need of a peaceful getaway. here are three units at Dworshak State Park: Freeman Creek Campground, Three Meadows Group Camp, and Big Eddy Marina and Lodge.",b,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/10/attachments/63,https://services1.arcgis.com/CNPdEkvnGl65jCX8/arcgis/rest/services/IDPR_Parks_and_Facilities/FeatureServer/0/10/attachments/64
